City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,magadan,59.5667,150.8,-24.15,76,100,4.04,RU,1708442472
302,chos malal,-37.3781,-70.2709,29.52,16,10,3.94,AR,1708442473
303,coahuayana de hidalgo,18.7,-103.6583,24.95,55,2,1.03,MX,1708442473
304,koraput,18.8167,82.7167,23.04,29,50,1.74,IN,1708442474
305,barclayville,4.6797,-8.2339,29.57,74,79,3.53,LR,1708442437
306,plonsk,52.6235,20.3755,7.15,83,100,5.57,PL,1708442475
307,hola,51.5377,23.1902,8.1,82,99,5.51,PL,1708442476
308,zaragoza,41.6561,-0.8773,19.45,27,0,7.72,ES,1708442339
309,mamfe,5.754,9.3123,40.25,22,58,2.05,CM,1708442477
310,tvoroyri,61.5556,-6.8111,6.46,74,100,12.61,FO,1708442478
311,happy valley-goose bay,53.3168,-60.3315,-15.83,55,75,7.2,CA,1708442478
312,vershino-darasunskiy,52.35,115.5167,-24.31,82,11,3.27,RU,1708442479
313,xunchang,28.4543,104.715,16.2,60,6,0.53,CN,1708442480
314,oppdal,62.5943,9.6912,1.1,86,100,5.24,NO,1708442481
315,maceio,-9.6658,-35.7353,31.69,74,75,5.66,BR,1708442482
316,hatillo,18.4863,-66.8254,30.31,73,2,3.58,PR,1708442482
317,port macquarie,-31.4333,152.9167,19.94,92,19,1.74,AU,1708442483
318,boguchany,58.3814,97.4531,-26.19,99,100,1.34,RU,1708442484
319,harper,4.375,-7.7169,29.45,72,77,3.67,LR,1708442275
320,uturoa,-16.7333,-151.4333,27.43,76,83,2.74,PF,1708442485
321,turpan,42.9333,89.1667,-3.7,25,10,1.9,CN,1708442486
322,khandyga,62.6667,135.6,-39.45,100,98,0.37,RU,1708442487
323,nizhniy odes,63.6445,54.856,-6.15,89,100,7.07,RU,1708442487
324,varkaus,62.3153,27.873,-2.05,95,100,2.85,FI,1708442488
325,voi,-3.3945,38.563,31.42,46,75,5.3,KE,1708442489
326,arica,-18.475,-70.3042,28.75,65,0,5.66,CL,1708442248
327,mo i rana,66.3128,14.1428,-3.15,88,75,1.54,NO,1708442490
328,sisimiut,66.9395,-53.6735,-8.25,83,52,5.33,GL,1708442491
329,port hedland,-20.3167,118.5667,29.03,89,64,3.6,AU,1708442491
330,hilo,19.7297,-155.09,18.68,92,20,1.54,US,1708442492
331,vadso,70.0744,29.7487,-5.91,73,20,5.66,NO,1708442493
332,cidreira,-30.1811,-50.2056,24.93,71,56,4.82,BR,1708442494
333,forster,-32.1667,152.5167,19.6,100,25,0.88,AU,1708442495
